,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day,month,year,weekday
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.074225,0.21585000000000287,0.1298574943052391,0.008825331482961154,0.20148000000001576,0.05735,0.15742248893805474,0.059569273858921475,0.6184773913043403,0.04031101736972703,0.3903691919191914,0.6496930834807793,0.25391486710962957,0.274535553261058,0.013893903042792545,0.4934033333333342,0.508400000000001,0.3185,0.3346833333333251
std,0.02947645265506373,0.1020170814871643,0.06919774930123154,0.024959366066798938,0.21705879630207367,0.1889829329725202,0.09190989319222075,0.09025005467616251,0.2563529895254645,0.19572198712633634,0.27029490587978827,0.22301848084547582,0.11744575167961857,0.11906733798436407,0.0324407276816881,0.2873920455616598,0.28285776501925497,0.4659178660942385,0.24289039450138752
min,0.0,0.0,0.0,3.1499134682425116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004152823920262026,0.010497332644983651,1.0338303760041077e-05,0.0,0.0,0.0,0.0
25%,0.0625,0.16666666666666666,0.08048595292331055,0.0027352758203555887,0.0,0.0,0.09070796460176991,0.0,0.4434782608695652,0.0,0.16161616161616163,0.5055493003056093,0.15863787375415575,0.18774737566683875,0.005101378555371381,0.23333333333333334,0.2727272727272727,0.0,0.16666666666666666
50%,0.0625,0.23333333333333334,0.11769172361427487,0.0043008433893311215,0.2,0.0,0.13163716814159293,0.0,0.6608695652173913,0.0,0.32323232323232326,0.6681679266527267,0.24003322259135285,0.24969884701428324,0.008005293211525141,0.5,0.45454545454545453,0.0,0.3333333333333333
75%,0.09375,0.26666666666666666,0.16552771450265755,0.0061971518724721186,0.4,0.0,0.20575221238938052,0.11410788381742738,0.8434782608695652,0.0,0.5871212121212122,0.8388290172108711,0.327242524916938,0.3409051798313543,0.010849188270849774,0.7333333333333333,0.7272727272727273,1.0,0.5
max,1.0,0.9666666666666667,0.7228549734244495,1.0,1.0,1.0,0.9391592920353983,0.5643153526970954,1.0,1.0,1.0,1.0,0.9966777408637832,0.9827912579590432,1.0,1.0,1.0,1.0,1.0
